lat,lon,density_score,density_score_normalized
21.05,78.95,0.5066324263430024,0.0
21.05,78.96000000000001,0.5312827254845913,0.5219787100546542
21.05,78.97000000000001,0.5586705265472801,1.1019249812062468
21.05,78.98000000000002,0.588881036749289,1.7416431061166429
21.05,78.99000000000002,0.6218723315526019,2.4402453180229466
21.05,79.00000000000003,0.6573853004210235,3.192244860652228
21.05,79.01000000000003,0.6948129603351552,3.984788656170786
21.05,79.02000000000004,0.7330361178644069,4.7941773920532285
21.05,79.03000000000004,0.7702498535401734,5.582191266967177
21.05,79.04000000000005,0.8038260399081602,6.293178762423052
21.05,79.05000000000005,0.8303173278616129,6.854141054775111
21.05,79.06000000000006,0.8459055013095271,7.184226082210846
21.05,79.07000000000006,0.8477150783408876,7.222544509064353
21.05,79.08000000000007,0.8355287769889819,6.964495313658321
21.05,79.09000000000007,0.8120969467680923,6.468318109371005
21.05,79.10000000000008,0.7814724604325056,5.819833894971912
21.05,79.11000000000008,0.7472047943298422,5.094204074168897
21.05,79.12000000000009,0.7116903833961777,4.342173995303486
21.05,79.1300000000001,0.6763458541113139,3.593741219797095
21.05,79.1400000000001,0.6419677398751575,2.865772621118914
21.05,79.1500000000001,0.6090041157743531,2.1677563460208686
21.060000000000002,78.95,0.5236436485341258,0.3602185825321122
21.060000000000002,78.96000000000001,0.5524775081716021,0.970785650015445
21.060000000000002,78.97000000000001,0.5848870509922013,1.6570690601187998
21.060000000000002,78.98000000000002,0.6212343322475034,2.4267354594862103
21.060000000000002,78.99000000000002,0.6617999175581838,3.285725923312125
21.060000000000002,79.00000000000003,0.7066672671264447,4.235807750582903
21.060000000000002,79.01000000000003,0.7555242222253384,5.270370871023595
21.060000000000002,79.02000000000004,0.8073708896783094,6.3682421967340055
21.060000000000002,79.03000000000004,0.8601579158732515,7.486025947859759
21.060000000000002,79.04000000000005,0.9103744239095202,8.54937807748958
21.060000000000002,79.05000000000005,0.9525093462311661,9.441599801671389
21.060000000000002,79.06000000000006,0.9787661421203797,9.997596642508778
21.060000000000002,79.07000000000006,0.98151564453209,10.05581831819365
21.060000000000002,79.08000000000007,0.9597026438182089,9.593920395184552
21.060000000000002,79.09000000000007,0.9207444133719327,8.768966233064454
21.060000000000002,79.10000000000008,0.873914734869136,7.777331403938871
21.060000000000002,79.11000000000008,0.8252864633599648,6.747610738532433
21.060000000000002,79.12000000000009,0.7777315327998826,5.740618443310724
21.060000000000002,79.1300000000001,0.7323779493758866,4.780240443999855
21.060000000000002,79.1400000000001,0.6896199490922325,3.8748248259425826
21.060000000000002,79.1500000000001,0.6495849558971465,3.027069835831301
21.070000000000004,78.95,0.5402045968051377,0.7109024572442071
21.070000000000004,78.96000000000001,0.5733510135482237,1.4127894305060993
21.070000000000004,78.97000000000001,0.6111315409732272,2.212805319044183
21.070000000000004,78.98000000000002,0.6543105450400736,3.127135839529882
21.070000000000004,78.99000000000002,0.7037056753074898,4.17309500748445
21.070000000000004,79.00000000000003,0.7600818068832308,5.366879320962763
21.070000000000004,79.01000000000003,0.8238998668645983,6.718249072539642
21.070000000000004,79.02000000000004,0.8948487008495812,8.220615458872109
21.070000000000004,79.03000000000004,0.9712055420166216,9.837498289676198
21.070000000000004,79.04000000000005,1.0492351937273416,11.489803469099275
21.070000000000004,79.05000000000005,1.1219698188909235,13.029984608529785
21.070000000000004,79.06000000000006,1.1742731453960744,14.137525849466073
21.070000000000004,79.07000000000006,1.1806093554262849,14.271697314047795
21.070000000000004,79.08000000000007,1.1340709229179506,13.286229720768924
21.070000000000004,79.09000000000007,1.0614920298466244,11.749346262886325
21.070000000000004,79.10000000000008,0.9861923338440883,10.154848850861091
21.070000000000004,79.11000000000008,0.9161580918532963,8.671849270043316
21.070000000000004,79.12000000000009,0.8524823428696687,7.323493003641612
21.070000000000004,79.1300000000001,0.7945368099574643,6.096476067692479
