lat,lon,density_score,density_score_normalized,competitor_count,competitor_score,opportunity_score
21.05,78.95,0.5066324263430024,0.0,0,100.0,40.0
21.05,78.96000000000001,0.5312827254845913,0.5219787100546542,0,100.0,40.313187226032795
21.05,78.97000000000001,0.5586705265472801,1.1019249812062468,0,100.0,40.66115498872375
21.05,78.98000000000002,0.588881036749289,1.7416431061166429,0,100.0,41.044985863669986
21.05,78.99000000000002,0.6218723315526019,2.440245318022946,0,100.0,41.46414719081377
21.05,79.00000000000003,0.6573853004210235,3.192244860652228,0,100.0,41.915346916391336
21.05,79.01000000000003,0.6948129603351552,3.984788656170786,0,100.0,42.39087319370247
21.05,79.02000000000004,0.7330361178644069,4.7941773920532285,0,100.0,42.87650643523194
21.05,79.03000000000004,0.7702498535401734,5.582191266967177,0,100.0,43.349314760180306
21.05,79.04000000000005,0.8038260399081602,6.293178762423052,0,100.0,43.77590725745383
21.05,79.05000000000005,0.8303173278616129,6.854141054775111,0,100.0,44.11248463286507
21.05,79.06000000000006,0.8459055013095271,7.184226082210846,0,100.0,44.31053564932651
21.05,79.07000000000006,0.8477150783408876,7.222544509064353,0,100.0,44.333526705438615
21.05,79.08000000000007,0.8355287769889819,6.964495313658321,0,100.0,44.178697188194995
21.05,79.09000000000007,0.8120969467680923,6.468318109371005,0,100.0,43.8809908656226
21.05,79.10000000000008,0.7814724604325056,5.819833894971912,1,88.88888888888889,39.04745589253871
21.05,79.11000000000008,0.7472047943298422,5.094204074168897,1,88.88888888888889,38.6120780000569
21.05,79.12000000000009,0.7116903833961777,4.342173995303486,0,100.0,42.60530439718209
21.05,79.1300000000001,0.6763458541113139,3.593741219797095,0,100.0,42.15624473187826
21.05,79.1400000000001,0.6419677398751575,2.865772621118914,0,100.0,41.71946357267135
21.05,79.1500000000001,0.6090041157743531,2.1677563460208686,0,100.0,41.30065380761252
21.06,78.95,0.5236436485341258,0.3602185825321122,0,100.0,40.21613114951927
21.06,78.96000000000001,0.5524775081716021,0.970785650015445,0,100.0,40.58247139000927
21.06,78.97000000000001,0.5848870509922013,1.6570690601187998,0,100.0,40.99424143607128
21.06,78.98000000000002,0.6212343322475034,2.4267354594862103,0,100.0,41.456041275691724
21.06,78.99000000000002,0.6617999175581838,3.285725923312125,0,100.0,41.97143555398728
21.06,79.00000000000003,0.7066672671264447,4.235807750582903,0,100.0,42.541484650349744
21.06,79.01000000000003,0.7555242222253384,5.270370871023595,0,100.0,43.16222252261416
21.06,79.02000000000004,0.8073708896783094,6.3682421967340055,0,100.0,43.8209453180404
21.06,79.03000000000004,0.8601579158732515,7.486025947859759,0,100.0,44.49161556871586
21.06,79.04000000000005,0.9103744239095202,8.54937807748958,0,100.0,45.12962684649375
21.06,79.05000000000005,0.952509346231166,9.441599801671387,0,100.0,45.66495988100283
21.06,79.06000000000006,0.9787661421203796,9.997596642508778,0,100.0,45.998557985505265
21.06,79.07000000000006,0.98151564453209,10.05581831819365,0,100.0,46.03349099091619
21.06,79.08000000000007,0.9597026438182088,9.593920395184552,0,100.0,45.75635223711073
21.06,79.09000000000007,0.9207444133719328,8.768966233064454,0,100.0,45.261379739838674
21.06,79.10000000000008,0.873914734869136,7.777331403938871,1,88.88888888888889,40.22195439791888
21.06,79.11000000000008,0.8252864633599648,6.747610738532433,0,100.0,44.04856644311946
21.06,79.12000000000009,0.7777315327998826,5.740618443310724,0,100.0,43.44437106598643
21.06,79.1300000000001,0.7323779493758866,4.780240443999855,0,100.0,42.86814426639991
21.06,79.1400000000001,0.6896199490922325,3.874824825942583,0,100.0,42.32489489556555
21.06,79.1500000000001,0.6495849558971465,3.027069835831301,0,100.0,41.81624190149878
21.070000000000004,78.95,0.5402045968051377,0.7109024572442071,0,100.0,40.42654147434652
21.070000000000004,78.96000000000001,0.5733510135482237,1.4127894305060993,0,100.0,40.84767365830366
21.070000000000004,78.97000000000001,0.6111315409732272,2.212805319044183,0,100.0,41.32768319142651
